epoch,train_loss,val_loss,val_vector_ready_score,val_mIoU,foreground_mIoU,pixel_accuracy,foreground_pixel_accuracy,wall_boundary_F1,background_IoU,floor_IoU,wall_IoU,window_IoU,door_arc_IoU,door_leaf_IoU,door_origin_IoU,clean_pixel_accuracy,clean_foreground_mIoU,clean_wall_boundary_F1,clean_background_IoU,clean_floor_IoU,clean_wall_IoU,clean_window_IoU,clean_door_arc_IoU,clean_door_leaf_IoU,clean_door_origin_IoU,original_pixel_accuracy,original_foreground_mIoU,original_wall_boundary_F1,original_background_IoU,original_floor_IoU,original_wall_IoU,original_window_IoU,original_door_arc_IoU,original_door_leaf_IoU,original_door_origin_IoU,learning_rate,checkpoint_saved,best_updated
27,0.901806,0.913948,0.477277,0.468642,0.419156,0.833136,0.842533,0.619813,0.765555,0.78074,0.507146,0.397856,0.360925,0.256151,0.212119,0.948696,0.729488,0.955262,0.901158,0.921158,0.883486,0.872897,0.864707,0.465761,0.368921,0.719728,0.221553,0.244812,0.644042,0.661431,0.234431,0.190943,0.189728,0.02157,0.031215,2.438e-05,True,False
28,0.899822,0.914197,0.47864,0.470371,0.421389,0.832225,0.841864,0.621464,0.764262,0.779268,0.511311,0.407288,0.347993,0.260411,0.222065,0.947851,0.735117,0.954954,0.896229,0.919523,0.888827,0.877542,0.864,0.472108,0.388699,0.718752,0.220624,0.242796,0.646765,0.6589,0.235618,0.194709,0.18423,0.019949,0.03034,2.254e-05,True,False
29,0.897802,0.913404,0.474133,0.467445,0.41719,0.829381,0.831556,0.617722,0.768973,0.774733,0.506954,0.407469,0.329201,0.262038,0.222746,0.949435,0.731651,0.953831,0.903307,0.921871,0.885107,0.877406,0.854373,0.457426,0.393723,0.711561,0.218059,0.24348,0.648909,0.648259,0.238336,0.194895,0.175217,0.019436,0.032214,2.073e-05,True,False
30,0.895966,0.911522,0.482758,0.474555,0.425076,0.834746,0.837462,0.616934,0.771429,0.781593,0.505102,0.42066,0.354133,0.267884,0.221082,0.951451,0.742486,0.955801,0.90601,0.924796,0.887056,0.882555,0.873879,0.482426,0.404202,0.720214,0.222514,0.242726,0.651743,0.658873,0.237685,0.200407,0.186612,0.019412,0.032092,1.896e-05,True,True
31,0.894927,0.910319,0.48177,0.474306,0.424323,0.835081,0.833916,0.623239,0.774202,0.780015,0.511792,0.415723,0.349592,0.263222,0.225595,0.951531,0.740831,0.955744,0.906974,0.924377,0.888921,0.88673,0.872742,0.468131,0.404086,0.720799,0.221674,0.246799,0.656454,0.656429,0.236396,0.199281,0.184848,0.020233,0.032856,1.723e-05,True,False
32,0.892268,0.912284,0.485474,0.47676,0.427251,0.837186,0.837389,0.621304,0.773812,0.783114,0.510304,0.427672,0.36149,0.26888,0.212046,0.951859,0.745639,0.955652,0.905552,0.925358,0.891186,0.897521,0.874106,0.491949,0.393717,0.724647,0.223713,0.247335,0.658781,0.660345,0.236249,0.202256,0.1894,0.020434,0.033595,1.555e-05,True,True
33,0.891604,0.909109,0.477023,0.469578,0.419419,0.832328,0.834843,0.620451,0.770532,0.779173,0.5078,0.412134,0.340063,0.264867,0.212476,0.951727,0.747684,0.956096,0.904701,0.925475,0.887929,0.894673,0.877267,0.492586,0.408172,0.715152,0.219851,0.246695,0.652332,0.652366,0.238088,0.196276,0.179212,0.020398,0.032767,1.393e-05,True,False
34,0.890608,0.910062,0.482547,0.47433,0.424605,0.835312,0.837685,0.618749,0.772681,0.781852,0.505497,0.416305,0.359625,0.268104,0.216247,0.952173,0.743782,0.956166,0.907147,0.926077,0.889125,0.887231,0.877044,0.488368,0.394846,0.720628,0.222965,0.248929,0.65327,0.658197,0.2396,0.198417,0.188858,0.01992,0.032797,1.237e-05,True,False
35,0.888067,0.908715,0.481085,0.473096,0.423483,0.835289,0.841161,0.618911,0.77077,0.783221,0.508538,0.406607,0.35698,0.267128,0.218426,0.95291,0.751112,0.956005,0.906326,0.927322,0.893136,0.889333,0.885358,0.508964,0.402557,0.719857,0.22202,0.243236,0.650552,0.659519,0.236411,0.194353,0.187082,0.022056,0.032703,1.088e-05,True,False
36,0.886755,0.910176,0.483768,0.475075,0.425659,0.835896,0.841079,0.617584,0.771576,0.783569,0.505646,0.424367,0.358432,0.260791,0.221148,0.951399,0.739964,0.956176,0.905597,0.925207,0.887551,0.885441,0.872493,0.476422,0.392671,0.722543,0.223856,0.247885,0.652969,0.661889,0.238892,0.201146,0.188352,0.020828,0.03203,9.46e-06,True,False
