epoch,train_loss,val_loss,val_vector_ready_score,val_mIoU,foreground_mIoU,pixel_accuracy,foreground_pixel_accuracy,background_IoU,wall_IoU,opening_IoU,room_IoU,icon_IoU,wall_boundary_F1,opening_boundary_F1,clean_pixel_accuracy,clean_foreground_mIoU,clean_wall_IoU,clean_opening_IoU,clean_opening_boundary_F1,original_pixel_accuracy,original_foreground_mIoU,original_wall_IoU,original_opening_IoU,original_opening_boundary_F1,learning_rate,checkpoint_saved,best_updated
32,0.821024,0.828619,0.552734,0.553872,0.506672,0.792443,0.793073,0.742671,0.467814,0.38292,0.717126,0.458828,0.546325,0.432316,0.911972,0.799006,0.773372,0.770522,0.763217,0.675139,0.329462,0.229873,0.21477,0.181568,1.555e-05,True,False
33,0.81957,0.827597,0.547967,0.551947,0.504486,0.79068,0.791273,0.741791,0.469099,0.372519,0.71509,0.461236,0.549765,0.423128,0.909824,0.79713,0.774437,0.764316,0.755351,0.673754,0.328161,0.231764,0.209762,0.176034,1.393e-05,True,False
34,0.818873,0.827302,0.551966,0.553073,0.507551,0.790829,0.797544,0.735162,0.469221,0.381435,0.715338,0.464211,0.548528,0.430414,0.908566,0.799486,0.775325,0.775014,0.764937,0.675285,0.330304,0.230819,0.213716,0.182008,1.237e-05,True,False
35,0.816273,0.826586,0.548717,0.551497,0.504627,0.790151,0.792765,0.738978,0.467602,0.375224,0.714967,0.460715,0.546175,0.425111,0.91082,0.796951,0.772366,0.769103,0.760809,0.671729,0.328336,0.230353,0.210474,0.177047,1.088e-05,True,False
36,0.815573,0.826039,0.54889,0.550449,0.505542,0.788302,0.79875,0.730076,0.469798,0.376025,0.713154,0.463192,0.548454,0.426748,0.90751,0.797345,0.773777,0.774059,0.764098,0.671314,0.328351,0.228165,0.211022,0.178774,9.46e-06,True,False
37,0.813745,0.826329,0.551063,0.550672,0.506128,0.788153,0.799271,0.728851,0.470051,0.382916,0.712055,0.459488,0.547509,0.431293,0.905462,0.797459,0.773927,0.774013,0.764272,0.673028,0.329109,0.228879,0.21408,0.183287,8.13e-06,True,False
38,0.812328,0.825257,0.556461,0.558086,0.510853,0.795977,0.794,0.747018,0.471451,0.38637,0.720435,0.465155,0.550529,0.435817,0.913594,0.803921,0.778272,0.780292,0.770888,0.680549,0.331846,0.230655,0.215752,0.183942,6.88e-06,True,True
39,0.811941,0.824898,0.553386,0.554913,0.50804,0.793244,0.795822,0.742404,0.469862,0.3833,0.718537,0.460459,0.548485,0.431162,0.912238,0.800588,0.775611,0.771759,0.762047,0.676466,0.330433,0.230073,0.214364,0.182441,5.73e-06,True,False
40,0.811546,0.826575,0.555556,0.556372,0.509794,0.794168,0.795744,0.742682,0.469553,0.38687,0.718535,0.464218,0.548403,0.435237,0.910052,0.797391,0.774026,0.773452,0.764916,0.68044,0.331946,0.230188,0.216092,0.185314,4.67e-06,True,False
41,0.810403,0.824587,0.553472,0.555886,0.509315,0.793431,0.79524,0.74217,0.470646,0.38163,0.717308,0.467678,0.550091,0.431082,0.910619,0.800689,0.775854,0.776676,0.767408,0.678425,0.331178,0.231553,0.213787,0.181645,3.71e-06,True,False
42,0.810098,0.824153,0.552344,0.554241,0.508291,0.792278,0.797726,0.738041,0.46995,0.38024,0.718035,0.464939,0.549655,0.429485,0.909871,0.800904,0.774619,0.777165,0.767892,0.676873,0.330589,0.229706,0.212786,0.180462,2.86e-06,True,False
43,0.808766,0.824236,0.552085,0.554999,0.507883,0.793278,0.794606,0.743463,0.469207,0.3788,0.718498,0.465026,0.550014,0.42881,0.912548,0.801147,0.775472,0.775539,0.765847,0.676228,0.33022,0.231085,0.21228,0.181153,2.11e-06,True,False
44,0.808952,0.824432,0.555891,0.556787,0.509791,0.794609,0.795132,0.744773,0.471266,0.38718,0.718978,0.46174,0.552118,0.43618,0.912431,0.802717,0.776389,0.778909,0.769637,0.678982,0.33117,0.230418,0.216224,0.184697,1.47e-06,True,False
45,0.808192,0.824091,0.551768,0.553113,0.506941,0.791059,0.79639,0.737802,0.469891,0.381286,0.715924,0.460661,0.54929,0.430139,0.909467,0.798794,0.77451,0.773621,0.764124,0.674855,0.330002,0.230998,0.213606,0.181507,9.4e-07,True,False
46,0.807693,0.825465,0.551913,0.553136,0.506652,0.791384,0.795391,0.739072,0.468708,0.381425,0.716447,0.460028,0.549632,0.430876,0.910812,0.800612,0.775007,0.776083,0.766829,0.674179,0.329424,0.230058,0.213529,0.181192,5.3e-07,True,False
47,0.808482,0.823458,0.554063,0.556705,0.509828,0.794556,0.795569,0.744211,0.471123,0.381542,0.719425,0.467224,0.551148,0.431365,0.912472,0.802485,0.776722,0.777418,0.767832,0.678835,0.331255,0.230558,0.213702,0.182431,2.4e-07,True,False
48,0.807615,0.824078,0.551784,0.55328,0.50717,0.791233,0.79621,0.73772,0.468659,0.380533,0.716403,0.463085,0.550323,0.430265,0.910376,0.801128,0.775098,0.777212,0.767804,0.674308,0.329971,0.231121,0.213053,0.181117,6e-08,True,False
49,0.806698,0.823647,0.552692,0.555135,0.509061,0.792769,0.797651,0.73943,0.470569,0.380171,0.71773,0.467772,0.55022,0.429387,0.910133,0.80072,0.775328,0.774155,0.76391,0.67759,0.331244,0.231374,0.213223,0.181601,0.0,True,False
